mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.5,	0.5231788079470199,	0.511326860841424,	0.44363636363636366,	0.7625,	0.5609195402298851,	0.42105263157894735,	0.4485981308411215,	0.43438914027149317,	1.0,	0.14893617021276595,	0.25925925925925924,	0.4620938628158845,	0.5505376344086022,	0.5024533856722275,	[False, True, False, True, False, True, False, True, True, True, True, True, False]
0.48066298342541436,	0.5761589403973509,	0.5240963855421688,	0.4521072796934866,	0.7375,	0.5605700712589073,	0.40707964601769914,	0.42990654205607476,	0.41818181818181815,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4575971731448763,	0.556989247311828,	0.5024248302618817,	[False, True, False, True, False, True, False, False, False, True, True, True, False]
0.48066298342541436,	0.5761589403973509,	0.5240963855421688,	0.4521072796934866,	0.7375,	0.5605700712589073,	0.40707964601769914,	0.42990654205607476,	0.41818181818181815,	0.7272727272727273,	0.1702127659574468,	0.27586206896551724,	0.4575971731448763,	0.556989247311828,	0.5024248302618817,	[False, True, False, True, False, True, False, True, False, True, True, True, False]
0.5107913669064749,	0.47019867549668876,	0.48965517241379314,	0.4521072796934866,	0.7375,	0.5605700712589073,	0.4766355140186916,	0.4766355140186916,	0.4766355140186916,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.47591522157996147,	0.5311827956989247,	0.5020325203252032,	[True, True, True, True, True, True, True, False, False, True, False, True, False]
0.5107913669064749,	0.47019867549668876,	0.48965517241379314,	0.4521072796934866,	0.7375,	0.5605700712589073,	0.4766355140186916,	0.4766355140186916,	0.4766355140186916,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.47591522157996147,	0.5311827956989247,	0.5020325203252032,	[True, True, True, True, True, True, True, True, False, True, False, True, False]
0.4906832298136646,	0.5231788079470199,	0.5064102564102564,	0.43252595155709345,	0.78125,	0.5567928730512249,	0.43478260869565216,	0.4672897196261682,	0.45045045045045046,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.453125,	0.5612903225806452,	0.5014409221902018,	[False, True, True, True, False, True, False, False, True, True, True, True, False]
0.4906832298136646,	0.5231788079470199,	0.5064102564102564,	0.43252595155709345,	0.78125,	0.5567928730512249,	0.43478260869565216,	0.4672897196261682,	0.45045045045045046,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.453125,	0.5612903225806452,	0.5014409221902018,	[False, True, True, True, False, True, False, True, True, True, True, True, False]
0.5178571428571429,	0.5761589403973509,	0.5454545454545455,	0.39792387543252594,	0.71875,	0.5122494432071268,	0.4453125,	0.5327102803738317,	0.4851063829787234,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.445,	0.5741935483870968,	0.5014084507042254,	[True, False, False, True, False, True, False, False, False, True, False, True, False]
0.5178571428571429,	0.5761589403973509,	0.5454545454545455,	0.39792387543252594,	0.71875,	0.5122494432071268,	0.4453125,	0.5327102803738317,	0.4851063829787234,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.445,	0.5741935483870968,	0.5014084507042254,	[True, False, False, True, False, True, False, True, False, True, False, True, False]
0.5061728395061729,	0.543046357615894,	0.5239616613418531,	0.4393939393939394,	0.725,	0.5471698113207547,	0.43119266055045874,	0.4392523364485981,	0.4351851851851852,	0.8,	0.1702127659574468,	0.2807017543859649,	0.46422018348623856,	0.5440860215053763,	0.5009900990099009,	[True, True, False, True, True, True, True, False, False, True, True, True, False]
