mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.3819444444444444,	0.36423841059602646,	0.3728813559322034,	0.35714285714285715,	0.375,	0.3658536585365853,	0.4142857142857143,	0.27102803738317754,	0.327683615819209,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.38578680203045684,	0.32688172043010755,	0.35389988358556457,	[False, False, False, True, True, True, False, False]
0.3716216216216216,	0.36423841059602646,	0.36789297658862874,	0.39751552795031053,	0.4,	0.39875389408099693,	0.3902439024390244,	0.29906542056074764,	0.3386243386243386,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.3945409429280397,	0.3419354838709677,	0.3663594470046083,	[True, False, False, True, True, True, False, False]
0.3836477987421384,	0.40397350993377484,	0.3935483870967742,	0.47619047619047616,	0.4375,	0.4560260586319218,	0.35714285714285715,	0.2803738317757009,	0.31413612565445026,	0.6923076923076923,	0.19148936170212766,	0.30000000000000004,	0.4218362282878412,	0.3655913978494624,	0.39170506912442393,	[False, True, False, True, True, True, False, False]
0.39072847682119205,	0.39072847682119205,	0.39072847682119205,	0.4358974358974359,	0.425,	0.43037974683544306,	0.3253012048192771,	0.2523364485981308,	0.28421052631578947,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.40298507462686567,	0.34838709677419355,	0.37370242214532867,	[True, True, False, True, True, True, False, False]
0.4186046511627907,	0.3576158940397351,	0.38571428571428573,	0.4125,	0.4125,	0.4125,	0.3780487804878049,	0.2897196261682243,	0.328042328042328,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.4155844155844156,	0.34408602150537637,	0.37647058823529417,	[False, False, True, True, True, True, False, False]
0.4420289855072464,	0.40397350993377484,	0.4221453287197232,	0.4405594405594406,	0.39375,	0.4158415841584159,	0.2740740740740741,	0.34579439252336447,	0.30578512396694213,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.39344262295081966,	0.36129032258064514,	0.37668161434977576,	[True, False, True, True, True, True, False, False]
0.46511627906976744,	0.3973509933774834,	0.42857142857142855,	0.3878787878787879,	0.4,	0.39384615384615385,	0.367816091954023,	0.29906542056074764,	0.3298969072164948,	0.6428571428571429,	0.19148936170212766,	0.29508196721311475,	0.4177215189873418,	0.3548387096774194,	0.3837209302325582,	[False, True, True, True, True, True, False, False]
0.43884892086330934,	0.40397350993377484,	0.4206896551724138,	0.40939597315436244,	0.38125,	0.3948220064724919,	0.2826086956521739,	0.3644859813084112,	0.3183673469387755,	0.6363636363636364,	0.14893617021276595,	0.24137931034482757,	0.38443935926773454,	0.36129032258064514,	0.37250554323725055,	[True, True, True, True, True, True, False, False]
0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	[False, False, False, False, False, False, True, False]
0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	0,	0.0,	0,	[True, False, False, False, False, False, True, False]
