mechP,	mechR,	mechF,	effP,	effR,	effF,	advP,	advR,	advF,	intP,	intR,	intF,	totP,	totR,	totF,	features
0.4166666666666667,	0.2980132450331126,	0.3474903474903475,	0.2214765100671141,	0.4125,	0.28820960698689957,	0.23076923076923078,	0.2803738317757009,	0.25316455696202533,	0.0,	0.0,	0,	0.2596685082872928,	0.3032258064516129,	0.27976190476190477,	[False, True, True, False, True, False, False, False, True, False, True, True, False]
0.42201834862385323,	0.304635761589404,	0.3538461538461538,	0.22,	0.4125,	0.28695652173913044,	0.22727272727272727,	0.2803738317757009,	0.2510460251046025,	0.0,	0.0,	0,	0.2591240875912409,	0.3053763440860215,	0.28035538005923005,	[True, True, True, False, True, False, False, False, True, False, True, True, False]
0.29591836734693877,	0.3841059602649007,	0.3342939481268012,	0.3675675675675676,	0.425,	0.39420289855072466,	0.3358208955223881,	0.4205607476635514,	0.3734439834024897,	1.0,	0.14893617021276595,	0.25925925925925924,	0.34099616858237547,	0.3827956989247312,	0.3606889564336373,	[False, False, False, True, True, False, False, False, True, False, True, True, False]
0.29591836734693877,	0.3841059602649007,	0.3342939481268012,	0.4,	0.3875,	0.3936507936507937,	0.3697478991596639,	0.411214953271028,	0.3893805309734513,	0.875,	0.14893617021276595,	0.25454545454545446,	0.3577405857740586,	0.36774193548387096,	0.36267232237539765,	[True, False, False, True, True, False, False, False, True, False, True, True, False]
0.43243243243243246,	0.423841059602649,	0.4280936454849499,	0.31932773109243695,	0.475,	0.38190954773869346,	0.35333333333333333,	0.4953271028037383,	0.41245136186770426,	0.7777777777777778,	0.14893617021276595,	0.25,	0.3669724770642202,	0.43010752688172044,	0.39603960396039606,	[False, True, False, True, True, False, False, False, True, False, True, True, False]
0.42953020134228187,	0.423841059602649,	0.42666666666666664,	0.30833333333333335,	0.4625,	0.37,	0.3263888888888889,	0.4392523364485981,	0.37450199203187257,	0.875,	0.14893617021276595,	0.25454545454545446,	0.35489833641404805,	0.4129032258064516,	0.3817097415506958,	[True, True, False, True, True, False, False, False, True, False, True, True, False]
0.32727272727272727,	0.3576158940397351,	0.3417721518987342,	0.3286384976525822,	0.4375,	0.37533512064343166,	0.34146341463414637,	0.3925233644859813,	0.3652173913043478,	0.5833333333333334,	0.14893617021276595,	0.23728813559322032,	0.33723196881091616,	0.3720430107526882,	0.3537832310838445,	[False, False, True, True, True, False, False, False, True, False, True, True, False]
0.3333333333333333,	0.3576158940397351,	0.3450479233226837,	0.3125,	0.4375,	0.3645833333333333,	0.3308270676691729,	0.411214953271028,	0.36666666666666664,	0.7,	0.14893617021276595,	0.24561403508771928,	0.33081285444234404,	0.3763440860215054,	0.35211267605633806,	[True, False, True, True, True, False, False, False, True, False, True, True, False]
0.425531914893617,	0.3973509933774834,	0.4109589041095891,	0.30798479087452474,	0.50625,	0.3829787234042553,	0.3359375,	0.40186915887850466,	0.36595744680851067,	0.6666666666666666,	0.1702127659574468,	0.2711864406779661,	0.35294117647058826,	0.4129032258064516,	0.3805748265609515,	[False, True, True, True, True, False, False, False, True, False, True, True, False]
0.42142857142857143,	0.39072847682119205,	0.40549828178694153,	0.30916030534351147,	0.50625,	0.38388625592417064,	0.3233082706766917,	0.40186915887850466,	0.3583333333333333,	0.6153846153846154,	0.1702127659574468,	0.26666666666666666,	0.34854014598540145,	0.410752688172043,	0.3770977295162883,	[True, True, True, True, True, False, False, False, True, False, True, True, False]
0.3826086956521739,	0.2913907284768212,	0.3308270676691729,	0.2594142259414226,	0.3875,	0.3107769423558897,	0.2441860465116279,	0.19626168224299065,	0.2176165803108808,	0.0,	0.0,	0,	0.27429805615550756,	0.2731182795698925,	0.27370689655172414,	[False, False, False, False, False, True, False, False, True, False, True, True, False]
0.45348837209302323,	0.2582781456953642,	0.3291139240506329,	0.21897810218978103,	0.375,	0.27649769585253464,	0.21739130434782608,	0.18691588785046728,	0.20100502512562812,	0.0,	0.0,	0,	0.2570194384449244,	0.25591397849462366,	0.2564655172413793,	[True, False, False, False, False, True, False, False, True, False, True, True, False]
0.5034965034965035,	0.4768211920529801,	0.489795918367347,	0.28214285714285714,	0.49375,	0.35909090909090907,	0.25806451612903225,	0.29906542056074764,	0.277056277056277,	0.0,	0.0,	0,	0.324468085106383,	0.3935483870967742,	0.35568513119533524,	[False, True, False, False, False, True, False, False, True, False, True, True, False]
0.5149253731343284,	0.45695364238410596,	0.4842105263157895,	0.2899628252788104,	0.4875,	0.3636363636363636,	0.27419354838709675,	0.3177570093457944,	0.29437229437229434,	0.0,	0.0,	0,	0.3333333333333333,	0.38924731182795697,	0.35912698412698413,	[True, True, False, False, False, True, False, False, True, False, True, True, False]
0.40476190476190477,	0.33774834437086093,	0.3682310469314079,	0.29432624113475175,	0.51875,	0.37556561085972845,	0.2553191489361702,	0.22429906542056074,	0.23880597014925375,	0.0,	0.0,	0,	0.30859375,	0.33978494623655914,	0.32343909928352094,	[False, False, True, False, False, True, False, False, True, False, True, True, False]
0.40476190476190477,	0.33774834437086093,	0.3682310469314079,	0.29285714285714287,	0.5125,	0.3727272727272727,	0.26262626262626265,	0.24299065420560748,	0.2524271844660194,	0.0,	0.0,	0,	0.3093385214007782,	0.3419354838709677,	0.32482124616956076,	[True, False, True, False, False, True, False, False, True, False, True, True, False]
0.44871794871794873,	0.46357615894039733,	0.45602605863192186,	0.30985915492957744,	0.55,	0.39639639639639634,	0.2727272727272727,	0.308411214953271,	0.2894736842105263,	0.0,	0.0,	0,	0.3333333333333333,	0.410752688172043,	0.3680154142581888,	[False, True, True, False, False, True, False, False, True, False, True, True, False]
0.44805194805194803,	0.45695364238410596,	0.45245901639344266,	0.3107142857142857,	0.54375,	0.39545454545454545,	0.2786885245901639,	0.3177570093457944,	0.296943231441048,	0.0,	0.0,	0,	0.3350970017636684,	0.40860215053763443,	0.36821705426356593,	[True, True, True, False, False, True, False, False, True, False, True, True, False]
0.35947712418300654,	0.36423841059602646,	0.3618421052631579,	0.38392857142857145,	0.5375,	0.44791666666666663,	0.2896551724137931,	0.3925233644859813,	0.33333333333333337,	1.0,	0.14893617021276595,	0.25925925925925924,	0.3591682419659735,	0.40860215053763443,	0.3822937625754527,	[False, False, False, True, False, True, False, False, True, False, True, True, False]
0.3712574850299401,	0.4105960264900662,	0.38993710691823896,	0.4215686274509804,	0.5375,	0.47252747252747257,	0.3076923076923077,	0.37383177570093457,	0.33755274261603374,	1.0,	0.14893617021276595,	0.25925925925925924,	0.3838582677165354,	0.41935483870967744,	0.4008221993833504,	[True, False, False, True, False, True, False, False, True, False, True, True, False]
0.4260355029585799,	0.4768211920529801,	0.45000000000000007,	0.4375,	0.6125,	0.5104166666666667,	0.3184713375796178,	0.4672897196261682,	0.37878787878787873,	1.0,	0.14893617021276595,	0.25925925925925924,	0.40754039497307004,	0.4881720430107527,	0.44422700587084146,	[False, True, False, True, False, True, False, False, True, False, True, True, False]
0.4311377245508982,	0.4768211920529801,	0.45283018867924524,	0.43231441048034935,	0.61875,	0.5089974293059126,	0.3,	0.4205607476635514,	0.35019455252918286,	1.0,	0.14893617021276595,	0.25925925925925924,	0.40325497287522605,	0.47956989247311826,	0.4381139489194499,	[True, True, False, True, False, True, False, False, True, False, True, True, False]
0.3829787234042553,	0.3576158940397351,	0.3698630136986301,	0.4144144144144144,	0.575,	0.4816753926701571,	0.358974358974359,	0.3925233644859813,	0.375,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.39595959595959596,	0.421505376344086,	0.4083333333333333,	[False, False, True, True, False, True, False, False, True, False, True, True, False]
0.3673469387755102,	0.3576158940397351,	0.3624161073825503,	0.4144144144144144,	0.575,	0.4816753926701571,	0.34710743801652894,	0.3925233644859813,	0.3684210526315789,	0.5333333333333333,	0.1702127659574468,	0.25806451612903225,	0.38811881188118813,	0.421505376344086,	0.4041237113402062,	[True, False, True, True, False, True, False, False, True, False, True, True, False]
